Nombre mostrado,Tipo de recurso,OCID,Compartimento,Región,Estado del ciclo de vida,Hora de creación (UTC),Etiquetas de formato libre,Etiquetas definidas
publicip20260707175959,IP Públicas,ocid1.publicip.oc1.sa-saopaulo-1.abtxeljrgowybrw6g2646rwvuyvniypl7shqisen3b5lkse47k244fd4moyq,josemedina51 (raíz),Brazil East (Sao Paulo),Asignado,"Tue, 07 Jul 2026 17:59:59 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-07T17:59:52.623Z
n8n-rag-server-amd,IP privadas,ocid1.privateip.oc1.sa-saopaulo-1.abtxeljrbtkuzfszbheomsm4nu4fd6on5exod3uzkhrkewyxv6ammyhyi5uq,josemedina51 (raíz),Brazil East (Sao Paulo),Disponible,"Tue, 07 Jul 2026 17:59:59 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-07T17:59:52.623Z
n8n-rag-server-amd,VNICs,ocid1.vnic.oc1.sa-saopaulo-1.abtxeljreudkm6ieej5c5kmrm72iykkpvkfnlelpd3g7i2kqn5jwi6akf66q,josemedina51 (raíz),Brazil East (Sao Paulo),Disponible,"Tue, 07 Jul 2026 17:59:59 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-07T17:59:52.623Z
n8n-rag-server-amd (Boot Volume),Volúmenes de inicio,ocid1.bootvolume.oc1.sa-saopaulo-1.abtxeljreuj4onq7oignytm54x3xcf4nl3k3ruhaho5x4khhgjguvqw6ir5a,josemedina51 (raíz),Brazil East (Sao Paulo),Disponible,"Tue, 07 Jul 2026 17:59:58 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-07T17:59:52.514Z
n8n-rag-server-amd,Instancias,ocid1.instance.oc1.sa-saopaulo-1.antxeljrkztjhpqc2gynb5o4wyzfba3gd6scxbjuyme7ykuo2bw4m5ik2rza,josemedina51 (raíz),Brazil East (Sao Paulo),En ejecución,"Tue, 07 Jul 2026 17:59:52 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-07T17:59:52.514Z
n8n-rag-vcn,Solucionadores privados,ocid1.dnsresolver.oc1.sa-saopaulo-1.amaaaaaakztjhpqagkdh52fedqr2yy2tfbmshn6ahqqbfbqwgmiz4qwkuufa,josemedina51 (raíz),Brazil East (Sao Paulo),Activo,"Mon, 06 Jul 2026 20:57:23 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-06T20:57:17.526Z
n8n-rag-vcn,Vistas privadas,ocid1.dnsview.oc1.sa-saopaulo-1.aaaaaaaaejzbrhilqsezv4bg5mg53fggz5jeyhg7athupzshuyoav5ouk4ca,josemedina51 (raíz),Brazil East (Sao Paulo),Activo,"Mon, 06 Jul 2026 20:57:23 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-06T20:57:17.526Z
n8n-public-subnet,Subredes,ocid1.subnet.oc1.sa-saopaulo-1.aaaaaaaaj2exexdftqwv55qkvazi3unsh7kshwtj3oybqupik6zca4pag6xa,josemedina51 (raíz),Brazil East (Sao Paulo),Disponible,"Mon, 06 Jul 2026 20:57:19 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-06T20:57:19.838Z
n8n-public-route-table,Tablas de rutas,ocid1.routetable.oc1.sa-saopaulo-1.aaaaaaaalpr3xhtwitvo2v3ekfc4cykhxuo7syg45ktmbgczt4qdusaoz4oq,josemedina51 (raíz),Brazil East (Sao Paulo),Disponible,"Mon, 06 Jul 2026 20:57:19 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-06T20:57:19.211Z
n8n-security-list,Listas de seguridad,ocid1.securitylist.oc1.sa-saopaulo-1.aaaaaaaaa5y4mggibic7zx5hjql6jbtkg5ozxfc34h2yvlest2n5xbd26wva,josemedina51 (raíz),Brazil East (Sao Paulo),Disponible,"Mon, 06 Jul 2026 20:57:18 GMT",-,Oracle-Tags.CreatedBy=default/jose.medina@itti.digital; Oracle-Tags.CreatedOn=2026-07-06T20:57:18.701Z
